competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,optimal_solution
DonBoscoCubing2023,6.67,1,A,0,1,F' R' U R' U' F R' F R U2 R,9, F2 U2 R' F R' U2 F U R
DonBoscoCubing2023,6.67,1,A,0,2,U' R U2 R' U' R' F R U' F R',7, R F U2 F2 U F' U2
DonBoscoCubing2023,6.67,1,A,0,3,U' R' U' F R U2 F' R U' R' F,8, U2 R2 F R' U2 R F2 U'
DonBoscoCubing2023,6.67,1,A,0,4,R' F2 U' R2 U2 R2 U' F R U' R,6, U2 F R' U F' R
DonBoscoCubing2023,6.67,1,A,0,5,U' F' U' R U2 R' F R2 U2 R2 U',7, F' U F2 U' R U2 F
DonBoscoCubing2023,6.67,1,A,1,1,R U' R' U' R U' F' U2 R' U' R,6, F R2 U2 R U R'
DonBoscoCubing2023,6.67,1,A,1,2,R2 U2 F U' F' R U R U2 R2 F,7, U' F' R U' F R' U'
MonterreyBogotaII2023,6.67,d,D,0,1,U R U' F' R' U' R2 F R U' R',6, F' R' F R' U F
MonterreyBogotaII2023,6.67,d,D,0,2,R2 U2 F U' R U2 F U' R U R',9, U2 R F U' F R2 U' F U2
MonterreyBogotaII2023,6.67,d,D,0,3,R U' R' U' F2 U2 F U2 R U' R',6, U2 R' F2 R F' U
MonterreyBogotaII2023,6.67,d,D,0,4,R U' R' U' F' R' U R' F U' R,9, R2 F' R' U F2 U2 R F' R2
MonterreyBogotaII2023,6.67,d,D,0,5,R U2 F' R2 U2 R U2 F U' R U2,7, U2 F2 U' R F2 U' F
MonterreyBogotaII2023,6.67,d,D,1,1,R U2 R' U F2 U2 R2 U' R' U2 R,7, F2 R2 U' F R2 U' F
MonterreyBogotaII2023,6.67,d,D,1,2,R' U2 R2 F' R2 F U2 F R F R,8, F2 R F' R' U F' R' F
AnkaraFall2022,6.67,2,A,0,1,R U' R' U' R' U' R U2 R' U2 F,6, F' U2 R U' R U
AnkaraFall2022,6.67,2,A,0,2,U2 R U2 F U' R U2 R U' F' U2,9, R2 F R2 F2 U' R' U F' R2
AnkaraFall2022,6.67,2,A,0,3,U' R' F' U' F' R U R F' R' U,7, U' F2 U' F U' F2 R'
AnkaraFall2022,6.67,2,A,0,4,U2 R2 F R U' R' F R U2 R F',7, U R U F2 U2 F U2
AnkaraFall2022,6.67,2,A,0,5,U' R U2 R' F U' R2 U2 R' U' R,10, F R F R F' U2 F' R F' R2
AnkaraFall2022,6.67,2,A,1,1,U2 R U R' U' R' U2 F U' F U2,9, U2 F' U F' U R' U R U'
AnkaraFall2022,6.67,2,A,1,2,R' F R U2 R' U R U R U2 R',6, U2 F U2 R U' R2
QubesDonLieAnkara2022,6.67,f,A,0,1,R' U' F2 R2 F' R' U' R' F R2 F',8, U R U F R2 F2 U' R
QubesDonLieAnkara2022,6.67,f,A,0,2,U' R U R' U F U' R U R U2,8, U' R' F U R' U2 R U2
QubesDonLieAnkara2022,6.67,f,A,0,3,U' R' F' R2 U2 F' R2 U2 R2 U2 R',6, R U' R F R2 F'
QubesDonLieAnkara2022,6.67,f,A,0,4,U2 R' F' U' R U2 F U2 R U' R,6, F R2 F' U' R2 F'
QubesDonLieAnkara2022,6.67,f,A,0,5,R' U2 R U' R F2 R U2 R F' R2,8, U2 F' R F2 R2 U2 R U2
QubesDonLieAnkara2022,6.67,f,A,1,1,R U' R' U R U R F' R' U' R,6, R2 U' R2 U R2 F
QubesDonLieAnkara2022,6.67,f,A,1,2,U2 R' U2 R U2 R' U F U' F2 U2,9, F U' R F U' R2 U' R F'
GuateMaya2021,6.67,f,A,0,1,R' F' U2 F' U' R U' R U' R' F,9, U R F2 U' F' R F' U' R'
GuateMaya2021,6.67,f,A,0,2,R' U' F2 R' U2 R U2 R' F' U' R,6, F U' F U R' F
GuateMaya2021,6.67,f,A,0,3,U2 F' R' U R U' R' U2 R' U2 R,9, U2 R2 U R' U' R U' F U2
GuateMaya2021,6.67,f,A,0,4,R' U' R U2 R' F R U' R' U' R,7, U F R2 F R2 F2 U'
GuateMaya2021,6.67,f,A,0,5,R U' F' R' U' F U2 F R U R,7, R' F R' U2 R' U R'
GuateMaya2021,6.67,f,A,1,1,F' U2 R' U R' U' F U' R U2 R,8, F' U2 R U' F2 R F' U2
GuateMaya2021,6.67,f,A,1,2,R U' R' U2 R U2 R' U R2 F R,6, F' U F U2 R2 F
ChillOutTrondheim2018,6.67,1,A,0,1,U' R U2 R2 F U2 F U R U R,6, R' F2 U' F R2 F'
ChillOutTrondheim2018,6.67,1,A,0,2,R U' R' U R' U2 F' U' F U' R,7, R' F R F' R U2 R
