competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,cspobl_slicecount,cspobl_solution
ThankfulforCubingRPV2023,5.67,d,A,5,"(1,3) / (0,3) / (0,-3) / (5,-1) / (-3,0) / (1,-5) / (-1,0) / (3,0) / (1,0) / (0,-4) / (-2,-2) / (-4,0) / (2,0)",6,"(1,-4)/(1,-4)/(-2,0)/(2,1)/(3,0)/(6,5)/(3,-2)"
MasonCubeChallenge2023,5.67,c,A,1,"(-3,-1) / (-5,-2) / (-3,0) / (-3,0) / (-1,-1) / (-3,0) / (-5,0) / (0,-3) / (6,-2) / (-3,-4) / (-4,0) / (2,-2)",6,"(-2,-3)/(0,-1)/(-5,0)/(0,-5)/(-3,-1)/(0,-3)/(2,-2)"
MasonCubeChallenge2023,5.67,c,A,2,"(-2,0) / (-1,5) / (3,0) / (4,-2) / (3,0) / (3,0) / (0,-1) / (3,0) / (-4,-3) / (-2,0) / (2,0) / (-1,-2) / (2,-2)",8,"(2,0)/(1,-4)/(0,-2)/(3,2)/(2,1)/(0,3)/(-3,2)/(4,1)/(2,0)"
MasonCubeChallenge2023,5.67,c,A,3,"(1,0) / (-3,-3) / (-1,-4) / (3,0) / (1,-5) / (0,-4) / (-3,-3) / (1,0) / (4,-2) / (-4,0) / (6,-2)",5,"(-2,-2)/(0,-2)/(-5,0)/(3,3)/(-1,3)/(3,-2)"
MasonCubeChallenge2023,5.67,c,A,4,"(1,0) / (-4,2) / (1,-2) / (-3,0) / (-4,-4) / (-3,0) / (0,-2) / (-3,-3) / (6,-5) / (0,-2) / (4,0) / (4,0) /",6,"(2,-2)/(-2,2)/(4,-2)/(3,-2)/(3,3)/(-4,3)/(3,-2)"
MasonCubeChallenge2023,5.67,c,A,5,"(3,-1) / (-5,-2) / (2,-1) / (-5,-2) / (0,-3) / (-1,-3) / (-3,-3) / (-2,-1) / (6,-4) / (2,0) / (-2,-1)",5,"(0,1)/(0,-2)/(1,-4)/(3,3)/(6,1)/(2,0)"
PiticOpen2023,5.67,c,B,1,"(-5,0) / (2,-1) / (-3,0) / (3,0) / (0,-3) / (-2,-2) / (-4,-3) / (-3,-3) / (0,-1) / (-2,-4) / (0,-2) / (-1,-4)",5,"(1,-2)/(2,-2)/(-3,-2)/(3,3)/(5,-3)/(3,-2)"
PiticOpen2023,5.67,c,B,2,"(4,0) / (3,-3) / (-4,-1) / (-2,-5) / (-3,0) / (6,-1) / (-3,0) / (0,-3) / (0,-3) / (5,0) / (0,-4) / (2,0) / (-1,0) /",6,"(0,-2)/(3,-2)/(0,4)/(-3,2)/(3,0)/(3,-2)/(2,0)"
PiticOpen2023,5.67,c,B,3,"(0,2) / (6,-3) / (1,-2) / (0,-3) / (2,-1) / (-3,-5) / (-3,-3) / (-2,-5) / (4,0) / (-4,-2) / (-2,0)",7,"(2,2)/(-2,2)/(4,2)/(2,-2)/(1,2)/(3,3)/(3,4)/(2,0)"
PiticOpen2023,5.67,c,B,4,"(0,5) / (3,6) / (0,3) / (-2,-2) / (-3,0) / (3,0) / (5,0) / (0,-3) / (0,-3) / (0,-2) / (-2,0) / (-4,0) / (0,-2)",5,"(4,2)/(4,-1)/(0,-3)/(-4,0)/(6,-3)/(3,-2)"
