competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,cspobl_slicecount,cspobl_solution
ChampionnatQuebecois2026,5.67,f,A,0,4,"(0,-1) / (0,3) / (3,-3) / (4,-2) / (3,0) / (5,-4) / (4,0) / (6,-3) / (0,-4) / (4,-5) / (-4,0) / (6,0) /",5,"(6,0)/(-2,0)/(0,5)/(-3,0)/(5,0)/(3,-2)"
ChampionnatQuebecois2026,5.67,f,A,0,5,"(0,-4) / (1,4) / (5,-1) / (-3,0) / (-5,-2) / (5,0) / (0,-3) / (4,-1) / (4,0) / (5,-2) / (4,0) / (6,-3)",7,"(0,5)/(3,2)/(0,4)/(1,-1)/(3,0)/(-3,0)/(2,3)/(3,-2)"
ChampionnatQuebecois2026,5.67,f,A,1,1,"(0,5) / (4,-2) / (-3,6) / (-4,-4) / (-3,0) / (0,-3) / (4,0) / (-3,-3) / (5,0) / (4,0) / (-2,0) / (-4,0) / (4,0)",6,"(-4,0)/(-2,2)/(0,4)/(-3,-2)/(3,3)/(0,1)/(2,0)"
ChampionnatQuebecois2026,5.67,f,A,1,2,"(0,-4) / (-5,-2) / (-1,-4) / (3,0) / (-2,-5) / (0,-4) / (-3,-3) / (5,-2) / (0,-4) / (2,0) / (-4,-2) /",5,"(4,-2)/(4,-2)/(4,2)/(2,-3)/(3,3)/"
PerthFavouritesEvening2026,5.67,c,A,0,1,"(0,5) / (3,0) / (4,4) / (3,-3) / (2,-1) / (1,0) / (0,-3) / (-1,-2) / (-3,0) / (2,-1) / (1,0) / (0,-1)",8,"(4,-2)/(2,-3)/(0,-1)/(2,3)/(2,0)/(0,1)/(3,0)/(0,5)/(3,-2)"
PerthFavouritesEvening2026,5.67,c,A,0,2,"(-2,-3) / (6,-3) / (-3,-3) / (-4,-1) / (-5,-3) / (0,-3) / (-1,0) / (-5,0) / (-4,-4) / (-2,-3) / (6,0)",7,"(4,-2)/(-2,-1)/(1,-2)/(1,-3)/(2,0)/(3,0)/(4,6)/(2,0)"
PerthFavouritesEvening2026,5.67,c,A,0,3,"(1,0) / (-1,5) / (0,3) / (4,-5) / (6,-1) / (0,-3) / (-1,0)",5,"(1,0)/(0,3)/(-4,0)/(-2,1)/(-4,-1)/(3,-2)"
PerthFavouritesEvening2026,5.67,c,A,0,4,"(0,5) / (3,0) / (1,-5) / (0,-3) / (3,0) / (0,-3) / (5,-3) / (3,0) / (1,0) / (2,-4) / (4,0) / (2,0) / (-2,-2)",7,"(2,2)/(-2,0)/(2,-2)/(3,0)/(-3,0)/(1,3)/(6,3)/(2,0)"
PerthFavouritesEvening2026,5.67,c,A,0,5,"(-2,0) / (2,-1) / (-5,-2) / (-3,0) / (5,-1) / (0,-2) / (3,0) / (-3,-4) / (0,-4) / (6,-5) / (4,0) / (3,0)",6,"(0,2)/(4,1)/(-4,-2)/(-2,2)/(2,-3)/(3,3)/"
PerthFavouritesEvening2026,5.67,c,A,1,1,"(0,2) / (-5,4) / (-4,-1) / (-5,-2) / (5,-4) / (1,-3) / (-3,-3) / (-5,0) / (4,0) / (-4,0) / (0,-4) / (-4,-2)",6,"(2,-2)/(4,2)/(1,-2)/(-5,0)/(3,-1)/(3,3)/"
PerthFavouritesEvening2026,5.67,c,A,1,2,"(-5,0) / (0,3) / (0,6) / (-3,0) / (5,-4) / (1,-2) / (-3,-1) / (-3,-3) / (5,0) / (-4,0) / (2,0)",5,"(-2,0)/(4,0)/(-5,0)/(3,3)/(0,4)/(2,0)"
EstonianChampionship2025,5.67,d,B,0,1,"(0,-4) / (3,0) / (1,-5) / (6,0) / (-4,-4) / (-2,-3) / (-3,0) / (5,-2) / (6,-4) / (0,-2) / (5,-2) / (0,-5)",7,"(6,0)/(3,-2)/(-4,2)/(1,-4)/(2,3)/(0,3)/(0,2)/(3,-2)"
