competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_slicecount,optimal_solution
Kanonkuben2024,9.2,d,B,4,"(1,0) / (5,-1) / (1,-2) / (3,-3) / (-3,0) / (3,0) / (0,-1) / (3,0) / (2,-5) / (-4,-2) / (1,0) / (-2,0)",7,"(4,0)/(1,2)/(2,4)/(0,2)/(3,-2)/(3,6)/(0,1)/(-1,-3)"
Kanonkuben2024,9.2,d,B,5,"(-3,5) / (-5,4) / (3,0) / (-4,-1) / (6,0) / (0,-3) / (0,-2) / (0,-3) / (0,-1) / (-5,0) / (0,-4) / (6,-3) / (-4,-3)",12,"(4,-3)/(4,-3)/(2,6)/(3,0)/(3,0)/(2,-2)/(2,6)/(4,1)/(4,-3)/(2,1)/(3,0)/(3,-4)/(3,-5)"
AraruamaOpen2024,9.2,c,A,1,"(0,5) / (-5,-2) / (0,-3) / (-3,0) / (5,-1) / (3,0) / (-5,-3) / (-3,-3) / (-1,0) / (2,-2) / (-2,-2) / (6,0) /",10,"(2,-2)/(2,-2)/(4,4)/(2,4)/(2,6)/(3,-2)/(3,3)/(2,3)/(4,-2)/(6,-3)/(-4,-3)"
AraruamaOpen2024,9.2,c,A,2,"(0,-1) / (0,-3) / (-2,-2) / (-4,-1) / (0,-3) / (6,0) / (0,-5) / (0,-3) / (0,-3) / (0,-4) / (-5,0)",8,"/(5,6)/(1,6)/(3,-5)/(3,0)/(0,5)/(3,6)/(3,2)/(-3,-5)"
AraruamaOpen2024,9.2,c,A,3,"(0,5) / (-2,1) / (3,0) / (2,-1) / (-2,-5) / (3,0) / (0,-4) / (6,-3) / (-5,0) / (-1,-4) /",8,"(1,-5)/(5,-1)/(1,1)/(2,-1)/(1,6)/(0,3)/(0,-2)/(-3,0)/(5,6)"
AraruamaOpen2024,9.2,c,A,4,"(4,0) / (3,3) / (3,0) / (-3,0) / (5,-1) / (1,-2) / (2,0) / (-3,0) / (-3,-1) / (1,0) / (-2,-5) / (-4,-1) /",10,"(3,0)/(0,-3)/(4,-2)/(2,-3)/(2,2)/(4,-5)/(5,6)/(0,-3)/(3,2)/(4,-5)/(2,-3)"
AraruamaOpen2024,9.2,c,A,5,"(1,3) / (-1,2) / (-5,-2) / (2,-1) / (-5,-3) / (0,-3) / (-1,0) / (-2,0) / (2,0) / (-1,0) / (4,0) / (-5,-2) /",10,"(2,-1)/(4,3)/(4,5)/(0,-2)/(0,1)/(0,-4)/(0,-4)/(3,-2)/(2,6)/(0,3)/(3,0)"
NewEnglandChampionship2023,9.2,d,B,1,"(6,-1) / (4,-5) / (-3,0) / (5,-1) / (-3,0) / (-2,0) / (0,-3) / (0,-2) / (-3,0) / (0,-4) /",8,"(0,6)/(0,-3)/(5,0)/(4,1)/(3,6)/(5,2)/(0,3)/(3,6)/(-3,-2)"
NewEnglandChampionship2023,9.2,d,B,2,"(0,2) / (0,3) / (4,1) / (-3,0) / (5,-4) / (3,-3) / (1,0) / (3,0) / (0,-3) / (0,-3) / (3,0)",10,"(3,-3)/(3,-3)/(5,-3)/(4,-5)/(3,0)/(3,3)/(5,-4)/(0,3)/(4,-5)/(5,2)/(0,1)"
NewEnglandChampionship2023,9.2,d,B,3,"(3,-4) / (4,-5) / (3,-3) / (5,-1) / (0,-3) / (4,0) / (6,-3) / (1,0) / (6,-2) / (2,0) / (0,-4)",10,"(3,-2)/(0,-2)/(5,-2)/(3,4)/(2,3)/(3,-5)/(0,3)/(0,-4)/(4,-2)/(2,5)/(-3,4)"
