competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_slicecount,optimal_solution
LonayEuroQualifier2026,9.0,c,B,0,5,"(0,5) / (0,-3) / (-5,-2) / (-3,0) / (-1,-4) / (4,-5) / (-1,0) / (-3,-3) / (-2,0) / (5,0) / (4,-3) /",9,"(4,4)/(5,-2)/(1,6)/(0,-5)/(2,5)/(3,3)/(0,2)/(1,4)/(-4,5)/(0,1)"
LonayEuroQualifier2026,9.0,c,B,1,1,"(-5,0) / (-3,3) / (-1,-4) / (-2,-5) / (6,-3) / (5,-3) / (-3,-3) / (0,-1) / (-4,-2) / (-4,-2) / (3,0) /",11,"(0,-1)/(1,6)/(5,6)/(4,3)/(2,2)/(2,4)/(0,4)/(4,-4)/(1,1)/(3,0)/(3,3)/(3,0)"
LonayEuroQualifier2026,9.0,c,B,1,2,"(4,3) / (2,5) / (1,-5) / (0,-3) / (6,0) / (0,-4) / (-3,0) / (5,-2) / (6,-4) / (-2,-2) / (-4,0) /",9,"(3,0)/(2,0)/(0,-2)/(4,-4)/(4,5)/(2,4)/(2,-5)/(3,0)/(-2,3)/(-1,-3)"
RiverMallKyiv2026,9.0,d,B,0,1,"(0,2) / (6,0) / (0,-3) / (-3,-3) / (-5,-2) / (-4,-1) / (4,0) / (-3,0) / (-1,0) / (2,-3) / (-2,0) / (4,0) / (-4,0) /",9,"(4,6)/(4,2)/(0,-4)/(0,-2)/(0,-4)/(3,-4)/(3,0)/(0,-3)/(6,-3)/(-3,3)"
RiverMallKyiv2026,9.0,d,B,0,2,"(1,0) / (2,5) / (-5,4) / (-3,-3) / (3,0) / (-4,-3) / (3,0) / (1,0) / (4,-4) / (-5,0) / (-4,-5) / (-4,0) /",10,"/(4,0)/(4,5)/(5,0)/(2,1)/(3,2)/(3,0)/(3,4)/(2,-1)/(4,1)/(-1,0)"
RiverMallKyiv2026,9.0,d,B,0,3,"(-5,0) / (-1,-4) / (-3,-3) / (-2,-5) / (6,-3) / (2,0) / (3,0) / (1,0) / (4,-4) / (-2,0) / (2,-3) / (4,-2)",11,"(2,-2)/(1,4)/(2,-3)/(4,-4)/(0,-2)/(5,1)/(0,-3)/(3,0)/(5,6)/(3,6)/(4,1)/(-1,3)"
RiverMallKyiv2026,9.0,d,B,0,4,"(0,-1) / (-3,0) / (3,-3) / (1,-2) / (-3,0) / (-3,-3) / (2,0) / (-3,0) / (3,0) / (-5,-3) / (4,0) / (0,-4) / (6,0) /",11,"(3,-2)/(3,2)/(0,-2)/(3,-4)/(5,2)/(0,1)/(0,-3)/(3,0)/(2,0)/(4,4)/(2,5)/(3,-5)"
RiverMallKyiv2026,9.0,d,B,0,5,"(0,-4) / (3,3) / (-3,0) / (1,-5) / (0,-1) / (3,0) / (3,0) / (-1,0) / (2,0) / (4,0) / (-3,-2) /",11,"(2,3)/(0,2)/(0,-5)/(0,4)/(4,0)/(0,5)/(2,0)/(5,-3)/(1,3)/(3,0)/(3,1)/(-4,0)"
RiverMallKyiv2026,9.0,d,B,1,1,"(-2,0) / (-3,-3) / (-4,2) / (-3,0) / (3,0) / (1,-2) / (-1,0) / (-3,-3) / (6,-3) / (-2,0) / (0,-2)",8,"(0,-4)/(2,-4)/(3,4)/(3,6)/(0,-5)/(5,0)/(3,6)/(3,-5)/(-1,-3)"
RiverMallKyiv2026,9.0,d,B,1,2,"(3,2) / (-2,1) / (3,0) / (-4,-3) / (-3,-3) / (0,-1) / (4,0) / (2,0) / (-4,0)",8,"(4,0)/(4,6)/(0,-4)/(3,4)/(3,3)/(0,1)/(3,6)/(2,-1)/(-3,-2)"
