competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,optimal_solution
SwisscubingCupV2025,1,A,0,1,U F' U' R2 U2 R2 U' F' R U' R,5, U' F2 U' R F'
CubingDaysNeuburg2025,f,A,0,2,R' F U' F' U2 R U R U2 R2 F,5, U R' F2 R' F'
PolishOpen2025,f,A,0,5,U2 R' U' F R U F R U2 R F',5, F R' U F' U
LockedinCoshocton2025,1,A,0,2,R' F R U2 F R U' R' F R U',5, U R' F' U2 F'
LaCoteOpen2025,1,A,0,1,U' R U2 R' U' R' F R U F' U',5, U F' U' F' U2
MetropolisBogotaII2025,f,A,0,1,U2 R' F' R U2 R' F R U R2 F,5, F' R F2 R U
CubingbytheKingsOH2025,1,B,0,5,U R' U' F' R2 U' R' U2 R' F' R,5, R2 U' F R' U2
ThapraCubeBattle2025,2,A,0,1,R F' R2 F U' F' R2 U' R' U2 R',5, U F R U F2
YumboalCubo2025,1,A,1,2,R U2 R2 U2 R2 U2 R' U' R U' R',5, R U R' U R2
IICubodeBarroES2025,1,B,0,4,U' R' F U F U' F U' F' U' R,5, F U R' U F'
BredaOpen2025,f,A,0,5,U' R' F2 R U R U' R' U' R' F',5, F R F2 U F
ZhengzhouSummerIII2025,c,D,0,1,R F' U2 R2 U2 F R2 U2 R' U R',5, R U' R' F2 R'
CubingKazakhstanNationals2025,f,B,1,1,U2 R' U2 R2 U' R2 U2 R' F2 R2 U2,5, U2 F' R2 F2 U2
MaruCubeDayTaiwan2025,1,G,0,3,U' R' U' R U2 R' U2 R2 U2 R2 U',5, R U R' U2 R'
KyivNxNSummer2025,1,C,0,5,U2 R' F' U' R2 U R' F R U2 R,5, F U' F2 U R'
ThunderBay2025,f,B,0,1,U' R' F' U' R U' F U2 R2 U2 R2,5, U' R2 F R' F2
BacktoSchoolUtah2025,1,B,1,1,R U2 R' U' R' U' R' U2 F R U',5, R' U' R U F'
BacktoSchoolUtah2025,1,A,0,1,R F' R' U R' U2 R2 F' U2 R2 U',5, F R' F' U' R'
KublordagLandvetterII2025,1,A,0,2,R U' R' U' R' U2 F R U R F',5, F2 U' F' U R
GreatLakesChampionship2025,2,B,1,2,U2 R' F U' F R2 U2 R2 F U2 F,5, R U' F' R2 U
SaskatooNxN2025,f,B,1,1,R F' U' R' U' R' U' F' U' R U,5, U' R F' U2 R2
BoiseOneHandedBlitz2025,1,B,0,5,U' R' U2 R U R U' R2 U2 F U2,5, U2 F' R2 U R'
ClockBattleAugustSG2025,2,A,0,5,U' R' U' F' R U' R' F U' R2 U',5, U F' R2 U' F
AguascalientesSummer2025,1,D,0,5,U2 R' U2 R U R F' U' R' U' R',5, R U' R F U
ChampionnatCanadien2025,1,D,0,5,R U' R2 U' F U' F' R U' R' U',5, F R U2 R U
SicilySummer2025,1,A,0,3,U' F' R' U R' F R U R' U2 F,5, F R2 F2 U2 F'
StevenageJuly2025,1,B,1,1,R' U' R U F' R U2 R U' R' U,5, U2 R' F R U'
SpeedcubeManiaCoacalco2025,1,D,0,2,U R' U' F2 U' F R U' R F' U2,5, R' U R' F2 U2
