competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_simtickcount,simtickcount_solution
MidAtlanticChampionship2023,15.0,2,B,0,3,UR5+ DR5+ DL2- UL5+ U4+ R3+ D4- L4- ALL0+ y2 U2- R2+ D0+ L1- ALL1- UR DR DL,14,"DR(-2,3) DL(3,3) UL(-2,3) R(1,2) D(0,-1) ur(0,-1) /(0,1)"
MidAtlanticChampionship2023,15.0,2,B,0,4,UR4- DR5- DL2+ UL5- U2- R4- D2+ L0+ ALL3- y2 U4+ R1- D3- L2- ALL0+ DL UL,15,"DR(1,-1) U(-1,0) D(0,2) L(3,-2) dl(-3,-3) ul(-2,2) /(-2,0) \(-1,0)"
MidAtlanticChampionship2023,15.0,2,B,0,5,UR4+ DR5- DL5+ UL4+ U1+ R3+ D3+ L5- ALL0+ y2 U2+ R1+ D5- L0+ ALL5+ UR DL,17,"DR(-2,0) DL(-1,0) UL(-2,2) U(5,-5) D(0,1) L(-1,0) ul(0,1) /(3,4)"
MidAtlanticChampionship2023,15.0,2,B,1,1,UR4- DR6+ DL3- UL0+ U0+ R5- D3- L2+ ALL0+ y2 U1+ R3+ D1- L2+ ALL4+ UR DR,15,"UR(1,-1) UL(1,-3) U(2,-2) R(2,3) ur(0,1) dr(3,1) /(-2,-2)"
MidAtlanticChampionship2023,15.0,2,B,1,2,UR6+ DR4- DL2+ UL4- U3- R3- D1+ L0+ ALL4+ y2 U1+ R6+ D4+ L2- ALL1+ DR DL,15,"UR(1,1) DL(1,0) L(1,-1) ur(1,-1) dl(1,4) ul(-2,2) /(-2,5)"
TassieSummer2023,15.0,c,A,0,1,UR4+ DR3+ DL4+ UL2- U1- R6+ D3- L3- ALL3+ y2 U3- R0+ D1+ L2- ALL5+,15,"UR(-1,0) DL(-1,1) UL(2,2) U(-2,1) D(-3,-1) ur(3,-2) ul(1,0) ALL(2,0)"
TassieSummer2023,15.0,c,A,0,2,UR6+ DR5+ DL2- UL4- U5- R1+ D3- L0+ ALL2+ y2 U5- R4+ D4+ L0+ ALL1- UR DR DL UL,20,"DR(0,-2) UL(3,4) D(0,-5) L(3,0) dl(4,4) \(2,1)"
TassieSummer2023,15.0,c,A,0,3,UR2- DR2- DL1+ UL4+ U1- R3- D0+ L6+ ALL1- y2 U6+ R6+ D2- L5- ALL5+,22,"UR(-1,-1) DL(1,1) UL(0,-4) U(0,-2) R(-4,-5) ur(0,-5) ul(-1,-1) /(3,3)"
TassieSummer2023,15.0,c,A,0,4,UR5- DR5+ DL3- UL1+ U1+ R4- D3- L4- ALL5- y2 U2- R4+ D2+ L4+ ALL2- UR,20,"DL(1,-1) UL(3,0) R(4,-4) L(2,0) ur(0,2) dr(1,2) ul(-4,-4) \(-2,-1)"
TassieSummer2023,15.0,c,A,0,5,UR3- DR4- DL1+ UL0+ U4+ R4- D6+ L0+ ALL2+ y2 U2+ R3+ D4+ L2+ ALL5- DR DL UL,15,"DL(-1,-1) U(-1,2) R(-1,3) D(-2,2) ur(2,0) dr(2,2) \(-2,-2) ALL(1,0)"
