competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_tickcount,tickcount_solution
MallorcaOpen2025,21.0,d,B,0,1,UR2+ DR4- DL4+ UL0+ U4- R3+ D0+ L5- ALL2+ y2 U5- R1- D3+ L1+ ALL4+,18,UL1+ U1+ R1- ul1- ALL2+ y2 ul4- U2+ UL2+ DL3- UR1+
MallorcaOpen2025,21.0,d,B,0,2,UR1- DR6+ DL4+ UL3+ U6+ R2+ D4+ L4- ALL2+ y2 U3- R4- D3- L5- ALL3-,24,UR4+ DR1+ DL3- y2 dl2+ R3+ UL3+ DL2+ DR1+ \5-
MallorcaOpen2025,21.0,d,B,0,3,UR4- DR3- DL2- UL0+ U4- R2+ D3+ L2+ ALL2+ y2 U2+ R6+ D6+ L2- ALL0+,28,UR4- DR2+ R5- ul1- y2 ul2- U4- UL2+ DR6+ /2-
MallorcaOpen2025,21.0,d,B,0,4,UR4- DR1+ DL1+ UL2- U2+ R2- D4- L1+ ALL1- y2 U4- R4+ D1+ L2+ ALL4-,19,UR4+ R1+ D2+ \1+ y2 U3- UL1- DL1- UR4- \2-
MallorcaOpen2025,21.0,d,B,0,5,UR4+ DR6+ DL4+ UL5- U1- R5+ D0+ L1+ ALL5+ y2 U2+ R4+ D3- L2- ALL3-,27,U2+ R3- D2+ /4+ y2 dl3- D1+ R4- U2- DL2+ /4-
MallorcaOpen2025,21.0,d,B,1,1,UR1+ DR1- DL1- UL1+ U1+ R3+ D1+ L1- ALL0+ y2 U4- R3- D4- L3+ ALL4+,20,UR3- DL1+ \2- y2 ur1+ D2+ U3+ L3- DR2+ UR1+ ALL2-
MallorcaOpen2025,21.0,d,B,1,2,UR6+ DR5+ DL1- UL3- U2+ R5+ D5- L6+ ALL3+ y2 U3- R5+ D4+ L2- ALL1+,29,UR4- DL1- UL1- D2+ dr4- \2+ y2 ur5- R1- U3+ L2+ DR4-
EdinburghWinter2025,21.0,d,B,0,1,UR5- DR3- DL0+ UL5+ U1- R2- D5+ L5- ALL3+ y2 U1- R2+ D4+ L4- ALL1+,25,UR1+ DR3- D1+ dr2+ /2+ y2 dr4+ D4+ R3- DL4+ UR1+
EdinburghWinter2025,21.0,d,B,0,2,UR3- DR4+ DL1- UL1- U0+ R4+ D2- L3- ALL1+ y2 U2+ R4- D4- L0+ ALL2+,23,DR5- DL4+ UL1+ U3+ ul1- \1- y2 dr2+ U2- DR4+
EdinburghWinter2025,21.0,d,B,0,3,UR0+ DR5+ DL1+ UL4- U1- R1+ D2+ L5- ALL1- y2 U2+ R3+ D0+ L1- ALL1-,21,UR2+ DR4+ U3+ L4- ul2- /1- y2 UL1+ UR3- /1-
EdinburghWinter2025,21.0,d,B,0,4,UR3- DR3- DL4+ UL2+ U2- R4+ D6+ L2+ ALL6+ y2 U0+ R2+ D3+ L2+ ALL4-,17,UR1+ DR1+ DL4+ U2+ y2 dl2- D1+ DL2- DR2- /2+
EdinburghWinter2025,21.0,d,B,0,5,UR4- DR4- DL5- UL4- U3- R5- D3+ L0+ ALL5+ y2 U1- R6+ D5+ L2- ALL3-,28,DR1+ DL3- U1- D4- y2 ul2+ dr5+ UL1+ DL1+ DR6+ \4+
EdinburghWinter2025,21.0,d,B,1,1,UR6+ DR2- DL5+ UL1- U4+ R6+ D1- L4- ALL1- y2 U6+ R1- D2+ L6+ ALL1+,22,UR2+ UL1+ D2- L1- y2 ul5- R1+ U2- UL4- DL2- ALL2-
