competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,movecount_solution
EnergyCubeTomaszowMazowiecki2025,8.0,f,A,1,2,UR4- DR6+ DL5+ UL4- U2+ R2- D2+ L1+ ALL1+ y2 U4- R3+ D2+ L4- ALL4+,10,UL2- U4- D1- y2 ul5- dr1- D1+ UL5- DL3- UR3- \3+
CFGoesSidewaysBrzeziny2025,8.0,f,A,0,1,UR2- DR4- DL0+ UL4+ U3+ R2- D1+ L4- ALL2- y2 U2+ R0+ D4- L6+ ALL1-,8,U5- R4- D3+ y2 dl4- D4- UL2- DL4- ALL1-
CFGoesSidewaysBrzeziny2025,8.0,f,A,0,2,UR2- DR2+ DL3- UL3- U4- R3+ D1+ L5+ ALL3+ y2 U1- R4+ D0+ L5- ALL5-,9,UR3- L1+ y2 ul3+ dl1- dr2- ur2- UL5+ UR4- ALL4-
CFGoesSidewaysBrzeziny2025,8.0,f,A,0,3,UR3- DR3+ DL4+ UL3+ U2- R3- D5- L3- ALL0+ y2 U1+ R3+ D1- L2- ALL1+,10,UR3+ UL4- U3+ D2- ur6- y2 L1- DL3+ DR2- UR1- ALL1-
CFGoesSidewaysBrzeziny2025,8.0,f,A,0,4,UR0+ DR3+ DL0+ UL2+ U5- R2- D6+ L3+ ALL3+ y2 U5+ R2- D4- L5+ ALL5+,10,U3+ R1- D3+ L5- ALL2+ y2 ur1+ U5+ L3+ DL4+ UR2+
CFGoesSidewaysBrzeziny2025,8.0,f,A,0,5,UR3- DR5+ DL2+ UL1- U1- R2- D3- L2- ALL1- y2 U6+ R6+ D0+ L5+ ALL6+,8,DL4- UL5+ /5+ y2 ul2+ dr2- R5- UL5- UR1-
CFGoesSidewaysBrzeziny2025,8.0,f,A,1,1,UR1- DR5- DL5+ UL4- U5+ R6+ D1+ L0+ ALL5+ y2 U1+ R5- D5- L3+ ALL4+,8,D1- L1- dr4- ul5- ALL1- y2 L2- UL1- DR5+
CFGoesSidewaysBrzeziny2025,8.0,f,A,1,2,UR2- DR1- DL2- UL6+ U4- R2+ D4- L6+ ALL5+ y2 U4- R4- D3+ L3+ ALL3-,8,DL2+ R1+ D5+ dl2- y2 DL3- UR4+ \2- ALL6+
SouthDakotaPlayhouse2025,8.0,f,A,0,1,UR3- DR3+ DL0+ UL2+ U1- R0+ D5+ L2+ ALL5+ y2 U0+ R6+ D3- L3- ALL6+,8,U2+ D4+ L4- dl3- y2 dl2- R6+ DL3+ ALL1-
SouthDakotaPlayhouse2025,8.0,f,A,0,2,UR3- DR2+ DL0+ UL2+ U3+ R3+ D6+ L1- ALL2+ y2 U1- R0+ D4+ L4+ ALL0+,8,UR2- D4+ L1- dl5- /2+ y2 D4- U1+ L4-
SouthDakotaPlayhouse2025,8.0,f,A,0,3,UR2- DR4+ DL6+ UL4- U2+ R5- D2+ L4+ ALL2- y2 U5+ R0+ D2- L0+ ALL2-,8,UL4+ R3+ L2+ dl2- y2 ul6+ ur4- D2+ U5-
SouthDakotaPlayhouse2025,8.0,f,A,0,4,UR0+ DR3+ DL3+ UL4- U5- R1+ D1- L4+ ALL5- y2 U1+ R4- D4- L1- ALL2+,9,DR4- UL3- D1- y2 ur5- R1+ U1- DL1+ DR3+ \5-
SouthDakotaPlayhouse2025,8.0,f,A,0,5,UR3+ DR3- DL3- UL1- U3+ R6+ D5+ L5- ALL2- y2 U3- R6+ D4+ L3+ ALL2+,10,DR1+ UL3- U2- R5+ /4- y2 ul3- L4+ UL3+ DL2+ DR6+
SouthDakotaPlayhouse2025,8.0,f,A,1,1,UR6+ DR0+ DL0+ UL4- U3- R5+ D3+ L3+ ALL2- y2 U0+ R3- D3- L0+ ALL0+,7,UR1+ DL1+ D4- dr4- \2- y2 dr3+ DR3+
SouthDakotaPlayhouse2025,8.0,f,A,1,2,UR4+ DR4+ DL4+ UL5+ U3- R1- D4+ L5+ ALL3- y2 U2+ R5+ D1- L1- ALL5+,9,UR4- UL2- R3- /3+ ALL1- y2 ul4- R5- U2- DL1+
VERKIV2025,8.0,d,A,0,1,UR2- DR3+ DL2- UL3+ U2+ R1- D6+ L5- ALL6+ y2 U2+ R5+ D2- L2+ ALL3-,8,DL4+ U3- D1+ y2 R5+ UL2- DR2+ \3- ALL6+
VERKIV2025,8.0,d,A,0,2,UR4- DR3+ DL2+ UL1- U4- R3- D2- L6+ ALL2- y2 U4+ R5+ D2+ L2- ALL1+,10,DR4+ DL5+ U3- dr2+ \3- y2 ur5+ L3+ UL1- DR2- UR3-
VERKIV2025,8.0,d,A,0,3,UR4- DR2- DL3- UL6+ U5- R1- D4+ L4+ ALL3- y2 U0+ R5+ D5+ L5+ ALL4-,8,UR5+ DR2+ DL1- UL6- U4+ y2 L5- DR5- /1-
VERKIV2025,8.0,d,A,0,4,UR3+ DR4+ DL2- UL6+ U3- R5- D3+ L3+ ALL5+ y2 U1+ R0+ D1+ L5+ ALL2+,9,DR5- UL6- R3+ L1- ur5- y2 U1- L4- DL1- /3-
VERKIV2025,8.0,d,A,0,5,UR1- DR6+ DL1- UL0+ U3+ R1- D2+ L3- ALL4- y2 U0+ R3+ D4- L5+ ALL6+,8,UR3+ DR5+ U5- L4+ ul4+ y2 DL5- DR3- /2-
VERKIV2025,8.0,d,A,1,1,UR1+ DR4+ DL6+ UL6+ U3- R3- D3- L2+ ALL1+ y2 U4+ R4- D0+ L5- ALL3+,8,UR2- UL2- D5+ y2 R4+ U3+ UL5+ /6+ \4-
VERKIV2025,8.0,d,A,1,2,UR3- DR3- DL1- UL3- U2+ R4- D2+ L4- ALL2- y2 U2- R1- D2+ L1+ ALL5+,9,UR4- DR2+ UL4- dr3+ ALL5- y2 dr5- DL1- DR1- UR2+
