competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_simulcount,simulcount_solution
RubisianSpringCubingIasi2026,5.67,f,A,5,UR5- DR1- DL1+ UL6+ U2- R1- D4+ L2+ ALL5+ y2 U5- R3+ D1+ L1+ ALL3-,6,"UR(-2,-4) UL(3,-3) R(-3,3) D(-4,-5) dr(6,1) /(3,5)"
BrizzonSideOpenIII2026,5.67,d,A,1,UR6+ DR2- DL6+ UL5- U3+ R3+ D4- L6+ ALL1+ y2 U0+ R4- D1- L5+ ALL2+,5,"UR(-4,4) R(-3,-4) L(5,6) dr(-2,-1) \(2,-3)"
BrizzonSideOpenIII2026,5.67,d,A,2,UR2+ DR3- DL5+ UL3+ U2+ R0+ D1- L5- ALL3+ y2 U3+ R0+ D1- L0+ ALL2-,6,"UR(1,0) DL(-2,0) UL(-1,-5) U(5,-1) D(1,3) /(2,3)"
BrizzonSideOpenIII2026,5.67,d,A,3,UR6+ DR2- DL4+ UL1+ U1+ R4+ D5+ L3+ ALL3+ y2 U5+ R0+ D5- L5+ ALL3+,5,"UR(4,-5) DL(5,3) UL(-1,-2) U(1,-5) ur(2,5)"
BrizzonSideOpenIII2026,5.67,d,A,4,UR0+ DR3+ DL3+ UL3- U1+ R4+ D3+ L6+ ALL1+ y2 U3- R6+ D0+ L3+ ALL3-,6,"UR(2,-3) DR(3,4) L(6,0) ur(1,3) ul(-5,6) /(-1,5)"
BrizzonSideOpenIII2026,5.67,d,A,5,UR1- DR4- DL5+ UL6+ U6+ R1- D6+ L5- ALL4+ y2 U1+ R2- D5+ L6+ ALL2-,6,"DL(5,3) UL(1,4) R(6,-2) ur(1,1) dr(-2,5) /(-3,-3)"
GreenwoodsSummerOvertime2026,5.67,d,B,1,UR0+ DR3+ DL5+ UL3+ U1+ R1+ D3+ L3+ ALL5+ y2 U3+ R0+ D2+ L2- ALL3-,6,"UR(-4,1) DL(1,3) U(0,2) D(0,3) L(0,-2) /(3,5)"
GreenwoodsSummerOvertime2026,5.67,d,B,2,UR3- DR4+ DL4- UL4+ U4- R6+ D2- L0+ ALL2+ y2 U2- R3+ D5+ L5+ ALL2+,5,"UR(3,-4) DR(2,-3) R(0,5) dr(5,5) ul(-1,-2)"
GreenwoodsSummerOvertime2026,5.67,d,B,3,UR3+ DR6+ DL1+ UL2+ U2- R2+ D4+ L3+ ALL6+ y2 U0+ R0+ D2+ L4+ ALL6+,5,"UR(-3,-2) DR(4,-2) DL(-3,0) L(-3,2) dr(4,2)"
GreenwoodsSummerOvertime2026,5.67,d,B,4,UR4+ DR4+ DL3- UL3- U1- R2+ D5- L5- ALL5+ y2 U1+ R5+ D5+ L2- ALL1-,6,"DR(2,3) D(2,2) L(-1,-1) ur(2,-1) dl(3,5) /(6,0)"
GreenwoodsSummerOvertime2026,5.67,d,B,5,UR4+ DR5+ DL2- UL3+ U4- R1+ D4- L6+ ALL4+ y2 U3+ R1- D4+ L3+ ALL6+,6,"UR(-3,-3) R(5,-1) D(1,3) L(5,-1) dr(6,4) /(-3,1)"
TJHSSTWinter2026,5.67,f,A,1,UR1+ DR1+ DL1+ UL6+ U5+ R1+ D1- L2+ ALL2- y2 U3+ R0+ D5+ L2- ALL2-,5,"DR(-1,6) R(-2,-5) L(3,-5) ur(6,3) dl(4,5)"
TJHSSTWinter2026,5.67,f,A,2,UR3- DR4+ DL1+ UL1+ U2- R3- D5- L5- ALL4+ y2 U2+ R2+ D2+ L2+ ALL4+,6,"UR(1,0) DR(0,4) UL(3,4) R(1,0) ur(3,2) dl(0,2)"
TJHSSTWinter2026,5.67,f,A,3,UR0+ DR3+ DL2- UL2+ U4- R4- D2+ L2+ ALL6+ y2 U3+ R3- D5- L3- ALL1+,7,"UR(0,-2) UL(-2,0) U(4,-2) R(1,-3) D(-3,3) dr(0,-3) ALL(-5,0)"
TJHSSTWinter2026,5.67,f,A,4,UR4+ DR3+ DL2+ UL3+ U4- R4+ D2- L2- ALL2+ y2 U1+ R2+ D3+ L3- ALL0+,6,"DL(-3,6) U(-3,3) R(1,-2) ur(4,-3) ul(-4,4) /(-5,-5)"
TJHSSTWinter2026,5.67,f,A,5,UR5+ DR1- DL5+ UL1- U4- R3+ D0+ L4- ALL3- y2 U4+ R1+ D2- L2+ ALL5-,5,"DR(-4,0) R(-3,1) ur(-4,4) dr(6,-2) /(5,-3)"
DreaminChiangMai2026,5.67,1,B,1,UR6+ DR3+ DL3+ UL5+ U4+ R3- D1+ L4+ ALL5+ y2 U6+ R1+ D4- L2- ALL4+,6,"UR(6,3) U(3,-2) D(5,5) dr(5,-2) ul(0,1) /(1,0)"
DreaminChiangMai2026,5.67,1,B,2,UR0+ DR4- DL4- UL1+ U1+ R1+ D1- L5+ ALL3- y2 U6+ R3- D1+ L6+ ALL3-,5,"DR(-3,-1) UL(-2,5) R(6,-4) ur(-3,6) dl(6,1)"
DreaminChiangMai2026,5.67,1,B,3,UR5- DR3+ DL2- UL4+ U4+ R2- D2+ L4+ ALL2+ y2 U5- R4+ D0+ L5- ALL3-,5,"DL(-3,-2) UL(-3,2) R(4,4) ur(3,-5) /(1,4)"
DreaminChiangMai2026,5.67,1,B,4,UR6+ DR1+ DL2- UL3+ U4- R5- D5- L1- ALL1+ y2 U2+ R3+ D1+ L0+ ALL1-,6,"UR(-5,-1) DR(3,3) D(3,0) dl(1,1) ul(2,2) /(2,0)"
DreaminChiangMai2026,5.67,1,B,5,UR3+ DR1+ DL2+ UL5+ U6+ R1- D0+ L1+ ALL2+ y2 U5- R6+ D4+ L4- ALL4+,6,"DR(-3,-5) U(-2,-2) L(4,1) ur(-4,-5) dl(-2,6) \(0,-2)"
PrlekijaOpen2026,5.67,d,B,1,UR4+ DR1- DL2+ UL5+ U2+ R0+ D6+ L2- ALL4+ y2 U4- R3- D3- L1- ALL4-,6,"DL(5,-3) U(1,-3) R(-3,1) L(2,-1) ul(-2,-4) /(1,-5)"
PrlekijaOpen2026,5.67,d,B,2,UR5- DR5+ DL5+ UL5+ U5- R4- D5+ L6+ ALL2- y2 U4+ R1+ D4- L5- ALL5+,6,"UR(5,5) U(0,-4) R(-1,1) D(-3,4) L(-4,-5) /(5,0)"
PrlekijaOpen2026,5.67,d,B,3,UR5- DR4+ DL6+ UL1+ U1- R4- D6+ L2+ ALL4- y2 U0+ R0+ D6+ L5+ ALL4-,5,"UR(5,2) DL(-4,0) L(-5,-1) dr(1,6) ul(-2,0)"
